,session_name,timestamp,27261,27226,27263
0,formation,1630387594,-1,1,0
1,formation,1630387595,-1,1,0
2,formation,1630387596,-1,1,0
3,formation,1630387597,-1,1,0
4,formation,1630387598,-1,1,0
5,formation,1630387599,-1,1,0
6,formation,1630387600,-1,1,0
7,formation,1630387601,-1,1,0
8,formation,1630387602,-1,1,0
9,formation,1630387603,-1,1,0
10,formation,1630387604,-1,1,0
11,formation,1630387605,-1,1,0
12,formation,1630387606,-1,1,0
13,formation,1630387607,-1,1,0
14,formation,1630387608,-1,1,0
15,formation,1630387609,-1,1,0
16,formation,1630387610,-1,1,0
17,formation,1630387611,-1,1,0
18,formation,1630387612,-1,1,0
19,formation,1630387613,-1,1,0
20,formation,1630387614,-1,1,0
21,formation,1630387615,-1,1,0
22,formation,1630387616,-1,1,0
23,formation,1630387617,-1,1,0
24,formation,1630387618,-1,1,0
25,formation,1630387619,-1,1,0
26,formation,1630387620,-1,1,0
27,formation,1630387621,-1,1,0
28,formation,1630387622,-1,1,0
29,formation,1630387623,-1,1,0
30,formation,1630387624,-1,1,0
31,formation,1630387625,-1,1,0
32,formation,1630387626,-1,1,0
33,formation,1630387627,-1,1,0
34,formation,1630387628,-1,1,0
35,formation,1630387629,-1,1,0
36,formation,1630387630,-1,1,0
37,formation,1630387631,-1,1,0
38,formation,1630387632,-1,1,0
39,formation,1630387633,-1,1,0
40,formation,1630387634,-1,1,0
41,formation,1630387635,-1,1,0
42,formation,1630387636,-1,1,0
43,formation,1630387637,-1,1,0
44,formation,1630387638,-1,1,0
45,formation,1630387639,-1,1,0
46,formation,1630387640,-1,1,0
47,formation,1630387641,-1,1,0
48,formation,1630387642,-1,1,0
49,formation,1630387643,-1,1,0
50,formation,1630387644,-1,1,0
51,formation,1630387645,-1,1,0
52,formation,1630387646,-1,1,0
53,formation,1630387647,-1,1,0
54,formation,1630387648,-1,0,0
55,formation,1630387649,-1,0,0
56,formation,1630387650,-1,0,0
57,formation,1630387651,-1,0,0
58,formation,1630387652,-1,0,0
59,formation,1630387653,-1,0,0
60,formation,1630387654,-1,0,0
61,formation,1630387655,-1,1,0
62,formation,1630387656,-1,1,0
63,formation,1630387657,-1,1,0
64,formation,1630387658,-1,1,0
65,formation,1630387659,-1,0,0
66,formation,1630387660,-1,0,0
67,formation,1630387661,-1,0,0
68,formation,1630387662,-1,0,0
69,formation,1630387663,-1,0,0
70,formation,1630387664,-1,1,0
71,formation,1630387665,-1,1,0
72,formation,1630387666,-1,1,0
73,formation,1630387667,-1,1,0
74,formation,1630387668,-1,1,0
75,formation,1630387669,-1,0,0
76,formation,1630387670,-1,0,0
77,formation,1630387671,-1,0,0
78,formation,1630387672,-1,1,0
79,formation,1630387673,-1,1,0
80,formation,1630387674,-1,1,0
81,formation,1630387675,-1,1,0
82,formation,1630387676,-1,1,0
83,formation,1630387677,-1,1,0
84,formation,1630387678,-1,1,0
85,formation,1630387679,-1,1,0
86,formation,1630387680,-1,1,0
87,formation,1630387681,-1,1,0
88,formation,1630387682,-1,1,0
89,formation,1630387683,-1,1,0
90,formation,1630387684,-1,1,0
91,formation,1630387685,-1,1,0
92,formation,1630387686,-1,1,0
93,formation,1630387687,-1,1,0
94,formation,1630387688,-1,1,0
95,formation,1630387689,-1,1,0
96,formation,1630387690,-1,1,0
97,formation,1630387691,-1,1,0
98,formation,1630387692,-1,1,0
99,formation,1630387693,-1,1,0
100,formation,1630387694,-1,1,0
101,formation,1630387695,-1,1,0
102,formation,1630387696,-1,1,0
103,formation,1630387697,-1,1,0
104,formation,1630387698,-1,1,0
105,formation,1630387699,-1,1,0
106,formation,1630387700,-1,1,0
107,formation,1630387701,-1,1,0
108,formation,1630387702,-1,1,0
109,formation,1630387703,-1,1,0
110,formation,1630387704,-1,1,0
111,formation,1630387705,-1,1,0
112,formation,1630387706,-1,1,0
113,formation,1630387707,-1,1,0
114,formation,1630387708,-1,1,0
115,formation,1630387709,-1,1,0
116,formation,1630387710,-1,1,0
117,formation,1630387711,-1,1,0
118,formation,1630387712,-1,1,0
119,formation,1630387713,-1,1,0
120,formation,1630387714,-1,1,0
121,formation,1630387715,-1,1,0
122,formation,1630387716,-1,1,0
123,formation,1630387717,-1,1,0
124,formation,1630387718,-1,1,0
125,formation,1630387719,-1,0,0
126,formation,1630387720,-1,0,0
127,formation,1630387721,-1,0,0
128,formation,1630387722,-1,0,0
